uuid,name,description,location,date,start_time,end_time,tags,speakers
b0da516a-43bf-464d-a0ee-cb46b550524d,Better Parallel Code with C# Channels,"Producer/consumer problems show up in a lot of programming scenarios, including data processing and machine learning. Channels give us a thread-safe way to communicate between producers and consumers, and we can run them all concurrently. In this presentation, we will explore channels by comparing parallel tasks with continuations to using a producer/consumer model. In the end, we'll have another tool in our toolbox to help us with concurrent programming.",Junior Ballroom C,2024-08-28,11:00:00,12:00:00,"['c#', 'concurrency', 'Intermediate']",['Aliya Craig']
a53a6d70-eb2e-4da6-8bee-7043ee4129c1,SOLID Design Patterns for Mere Mortals,"Software design patterns have been around long before the MVC Framework gained momentum. In this session we will start with a review of Robert C. Martin's (Uncle Bob) SOLID macronym. After building the proper foundation, I will show you several design patterns, their C# implementation, and when and how they should be used in modern software development.",Grand Ballroom B,2024-08-28,13:30:00,14:30:00,"['SOLID', 'MVC', 'design patterns', 'C#', 'Intermediate']",['Aurelia Gray']
42e99211-5a56-4a65-8c11-e97fb699211a,"Generative APIs: When, Where, and How to Leverage the Combination of Generative AI and APIs","API usage is on the rise and sees no signs of slowing down. At the same time, Generative AI technologies such as OpenAI's ChatGPT, Google Bard, and GitHub Co-Pilot have burst onto the scene and continue to grow in popularity. In this session, Nylas Senior Developer Advocate, Ram Bansal will explore the convergence of these two technologies and how developers and technical leaders can combine the two in order to move fast and innovate at scale.",Grand Ballroom B,2024-08-29,16:00:00,17:00:00,"['generative ai', 'api', 'Intermediate']",['Dakota Stout']
68f3e7a9-2bfd-4d03-88e7-5f025a76ee7a,Git: A Peek Under the Hood,"Over the last few years Git has become the Version Control System (VCS) of choice for the software industry. According to the 2021 Developer Survey from Stack Overflow over 90% of developers use Git, but how many of us really know how it works? Join me as we take a brief look under the hood to get a better understanding of what Git actually is (hint: it is a content-addressable file system).  We will seek out answers to questions like “how are files stored?”, “what is a branch?”, “how is a tag different from a branch?”, and “what does it mean when my HEAD has become detached?”.",Grand Ballroom C,2024-08-29,16:00:00,17:00:00,"['git', 'Intermediate']",['Chana Villarreal']
5d288317-d7b7-4e39-8206-2398264f843f,"Understanding Probabilistic Data Structures with 112,092 UFO Sightings","There are three reactions to the title of this talk:

- What the hecks a probabilistic data structure?
- UFO Sightings wha?
- 112,092 is an oddly specific number.

This is a talk about the first bullet point with the second thrown in just for fun. I like weird stuff—UFOs, Bigfoot, peanut butter and bologna on toast—maybe you do too? As far as the third bullet point, well, thats how many sightings I have.

Now, if youre like most developers, you probably have no idea what probabilistic data structures are. In fact, I did a super-scientific poll on Twitter and found that out of 119 participants, 58% had never heard of them and 22% had heard the term but nothing more. I wonder what percentage of that 22% heard the term for the first time in the poll. Were a literal-minded lot at times.

Anyhow. Thats 4 out of 5 developers or, as I like to call it, the Trident dentist ratio. (Its actually a manifestation of the Pareto principle but Im a 70s kid). Thats a lot of folks that need to be educated. So, lets do that.

A probabilistic data structure is, well, theyre sort of like the TARDIS—bigger on the inside—and JPEG compression—a bit lossy. And, like both, they are fast, accurate enough, and can take you to interesting places of adventure. That last one might not be something a JPEG does.

More technically speaking, most probabilistic data structures use hashes to give you faster and smaller data structures in exchange for precision. If youve got a mountain of data to process, this is super useful. In this talk, well briefly go over some common probabilistic data structures; dive deep into a couple (Bloom Filter, MinHash, and Top-K); and show a running application that makes use of Top-K to analyze the most commonly used words in all 112,092 of my UFO sightings.

When were done, youll be ready to start using some of these structures in your own applications. And, if you use the UFO data, maybe youll discover that the truth really is out there.",Junior Ballroom A,2024-08-29,16:00:00,17:00:00,"['data structures', 'probabilistic data structures', 'Introductory and overview']",['Nikolai Frederick']
4f2e4b13-62a6-4447-893b-acf3eaa66c24,How Mature Is Your Secrets Management Strategy?,"One nagging question keeping security folks up at night is ""How do I know how secure my secrets really are?"" Wouldn't it be great if there was an easy-to-use guide to help you determine how mature your secrets management strategy is now and a simple roadmap for improvement?  

Good news, there is one. 
",Junior Ballroom C,2024-08-29,16:00:00,17:00:00,"['security', 'Advanced']","['Sariyah Lam', 'Bodie Reyes']"
f50e9d79-f3ee-45d8-9a19-ea9e97b06a20,10 Ways to Write Clean TypeScript Code,"As a superset of JavaScript, TypeScript continues to deliver better tooling at scale that the JavaScript developer had hoped for years. However, if written poorly, one can end up with codebases that are not readable or maintainable.  

Over the years, after working with TypeScript, there are many things that I have learned the hard way. TypeScript and its ecosystem is fast changing. When you think you have grasped a concept in TypeScript, it loves to throw another curveball at you. 

In this talk, let's discuss 10 ways that I found useful to write clean TypeScript code. These guidelines will help you keep the clutter away, and write maintainable TypeScript code.",Grand Ballroom C,2024-08-28,11:00:00,12:00:00,"['javascript', 'typescript', 'Intermediate']",['Hailey Reed']
01cb8ea7-cad4-44c2-b6b4-86721ea909b9,Hacking Your Vacation: Using Data for Fun,"Data can be powerful, meaningful, AND fun. Making data-driven decisions can level up your family vacation from awful to awesome. In this session, attendees will walk through a specific example showing how to analyze various data sources to avoid crowds, save money, and piece together a Disney World vacation that's more enjoyable for everyone.",Junior Ballroom D,2024-08-29,16:00:00,17:00:00,"['data', 'Introductory and overview']",['Audrey Harding']
4273e556-f8d2-459a-99db-4106a0b3a268,Blazor Hybrid and Web in One Solution,"Blazor Hybrid is an exciting new development pattern from Microsoft that allows developers to create desktop and mobile applications using the Blazor framework and platform native .NET apps. Because Blazor Hybrid apps use HTML, CSS, C# and JavaScript, there is ample opportunity to share a common code base between a Blazor web client, desktop and mobile app. In addition, existing Blazor applications can be configured to work with .NET MAUI adding desktop and mobile clients. In this session we'll configure a single Visual Studio solution with Blazor Hybrid and Blazor WebAssembly while sharing a single component library for all clients: web, desktop and mobile.",Junior Ballroom A,2024-08-28,11:00:00,12:00:00,['blazor'],['Briella Anderson']
0b0e7d1e-8d46-4832-9472-5759e4aaf843,Architectural Awareness: Engineering Super-skill,"Awareness is the knowledge or perception of a situation or fact, which based on myriad of factors is an elusive attribute. Likely the most significant unasked for skill perhaps because it's challenging to ""measure"" or verify. It is challenging to be aware of aware, or is evidence of it's adherence. This session will cover different levels of architectural awareness. How to surface awareness and how you might respond to different technical situations once you are aware.

Within this session we look holistically an engineering, architecture and the software development process. Discussing:

* Awareness of when process needs to change (original purpose of Agile)
* Awareness of architectural complexity
* Awareness of a shift in architectural needs 
* Awareness of application portfolio and application categorization 
* Awareness of metrics surfacing system challenges
* Awareness of system scale (and what scale means for your application)
* Awareness when architectural rules are changing
* Awareness of motivation for feature requests
* Awareness of solving the right problem

The focus of the session will be mindful (defined as focusing on one's awareness), commentating in sharing strategies for heightening awareness as an architect and engineer.",Grand Ballroom A,2024-08-28,08:30:00,09:30:00,"['Architecture', 'Intermediate']","['Johnny Richards', 'Brynleigh Erickson']"
94fd360b-360f-4ab5-a125-f7da8f0ec203,A guided journey into AI,Do you feel like an explorer in uncharted territory with all the different terminology around the area of Artificial Intelligence? Dont despair!  In this session I'll explain the difference between classical machine learning and deep learning and their strengths and limitations.  Ill also show how modern AI advances allow us to combine natural language and vision to see what a neural network can imagine. Come get some inspiration and find out where to go next to learn about exciting AI topics!,Grand Ballroom B,2024-08-28,08:30:00,09:30:00,"['AI', 'Artificial Inteligence', 'Introductory and overview']",['Trinity Case']
f14c3984-97f0-4059-8c33-e2bb11dc003d,Chopping the monolith,"Micro services are ubiquitous. However, most companies that implement micro services do not reap their full benefits - at best. At worst, its an epic failure.

There are reasons for micro services: independent deployment of business capabilities. However, the unspoken assumption is that you need to deploy all capabilities all the time. My experience has shown me that its plain wrong. Some capabilities need frequent deployment, while some are much more stable. In “the past”, we used Rule Engines to allow updating business rules without deployment. While it solved the problem, this approach had issues. Between introducing a Rule Engine and migrating your complete system to micro services, I believe that theres a middle path, and that this path is Function-as-a-Service.

In this talk, Ill detail every point Ive made above, and show how one can use Serverless to pragmatically design a system that allows deploying as often as you need.",Grand Ballroom C,2024-08-28,08:30:00,09:30:00,"['microservices', 'Intermediate']",['Bentlee Maddox']
c701603d-7e35-4665-967f-5fae24a29a41,Orchestrate and build serverless solutions with Azure Logic Apps,"This presentation will cover how developers can and should be using Azure Logic Apps as a viable solution when building out serverless processes.  With over 200 connectors and the ability to orchestrate workflows, Logic Apps can get you up and running fairly quickly.  Logic Apps also allow for full integration with the Azure Active Directory, and can easily leverage other pieces of your Azure solutions, including Key Vaults and Azure Functions.  This talk will show how to use Logic Apps, as well as discuss the when and why for using logic apps.  The talk will also highlight a few gotchas and things every developer should know before committing to using logic apps.",Junior Ballroom A,2024-08-28,08:30:00,09:30:00,"['Azure', 'Logic Apps', 'Introductory and overview']",['Zainab Moran']
